species,total_length,weight
Stolo,78,3.24
Stolo,83,4.26
Stolo,86,4.16
Stolo,83,3.3
Stolo,90,4.6
Stolo,83,3.6
Stolo,86,4.04
Stolo,87,4.72
Stolo,83,3.56
Stolo,87,4.17
Stolo,84,3.77
Stolo,93,5.17
Stolo,92,5.14
Stolo,85,3.89
Stolo,90,4.62
Stolo,90,4.89
Stolo,91,5.15
Stolo,86,4.16
Stolo,83,3.28
Stolo,85,3.72
Stolo,93,5.13
Stolo,90,4.71
Stolo,82,3.49
Stolo,91,4.73
Stolo,85,3.65
Stolo,85,3.8
Stolo,83,3.5
Stolo,84,3.64
Stolo,90,4.38
Stolo,85,3.97
Stolo,85,4.03
Stolo,87,4.46
Stolo,84,3.55
Stolo,88,4.31
Stolo,85,3.92
Stolo,84,3.67
Stolo,74,2.89
Stolo,86,3.95
Stolo,86,4.41
Stolo,86,3.86
Stolo,85,3.64
Stolo,85,3.68
Stolo,77,2.78
Stolo,90,4.94
Stolo,86,3.88
Stolo,80,3.2
Stolo,85,3.89
Stolo,88,4.35
Stolo,81,3.1
Stolo,80,3.88
Stolo,95,3.16
Stolo,85,3.99
Stolo,84,3.84
Stolo,85,3.85
Stolo,80,3.16
Stolo,80,3.15
Stolo,85,3.84
Stolo,83,3.62
Stolo,87,4.41
Stolo,91,4.49
Stolo,90,4.61
Stolo,72,2.81
Stolo,82,3.5
Stolo,91,5.06
Stolo,82,3.56
Stolo,83,3.65
Stolo,88,4.46
Stolo,86,4.12
Stolo,87,4.26
Stolo,81,3.29
Stolo,88,4.17
Stolo,88,4.19
Stolo,90,4.96
Stolo,81,3.19
Stolo,90,4.42
Stolo,89,4.34
Stolo,83,3.69
Stolo,84,3.55
Stolo,85,3.95
Stolo,85,3.96
Stolo,85,4.28
Stolo,85,3.9
Stolo,83,3.42
Stolo,80,3.51
Stolo,81,3.48
Stolo,81,3.28
Stolo,88,4.85
Stolo,87,4.75
Stolo,93,4.85
Stolo,85,3.7
Stolo,81,3.29
Stolo,83,3.8
Stolo,86,4.15
Stolo,77,3.08
Stolo,96,5.16
Stolo,90,5.18
Stolo,83,3.5
Stolo,80,3.33
Stolo,80,3.05
Stolo,90,4.52
Stolo,85,3.82
Stolo,91,4.41
Stolo,81,3.33
Stolo,84,3.93
Stolo,78,3.02
Stolo,80,3.07
Stolo,77,2.63
Stolo,80,3.03
Stolo,80,3.38
Stolo,82,3.47
Stolo,80,3.05
Stolo,84,3.62
Stolo,89,4.21
Stolo,75,2.82
Stolo,75,2.43
Stolo,75,2.65
Stolo,83,3.36
Stolo,85,3.89
Stolo,80,3.05
Stolo,74,2.42
Stolo,77,2.84
Stolo,85,4.23
Stolo,89,4.74
Stolo,83,3.6
Stolo,90,4.93
Stolo,85,4
Stolo,80,4.06
Stolo,80,4.07
Stolo,82,3.58
Stolo,88,4.39
Stolo,90,4.47
Stolo,85,3.95
Stolo,83,3.78
Stolo,85,4.08
Stolo,76,2.88
Stolo,82,3.55
Stolo,85,3.91
Stolo,82,3.6
Stolo,82,3.58
Stolo,82,3.53
Stolo,72,2.57
Stolo,79,3.12
Stolo,77,2.79
Stolo,87,4.01
Stolo,71,2.18
Stolo,78,2.97
Stolo,82,3.41
Stolo,81,3.28
Stolo,86,4.17
Stolo,81,3.42
Stolo,80,3.29
Stolo,87,4.14
Stolo,81,3.11
Stolo,87,4.13
Stolo,81,3.31
Stolo,73,2.39
Stolo,85,3.89
Stolo,80,3.35
