time,latitude,longitude,precip
1981-11-01,-2.125,33.024994,63.74269
1981-11-01,-2.125,33.074997,63.141453
1981-11-01,-2.125,33.125,62.220142
1981-11-01,-2.0750008,32.875,62.02845
1981-11-01,-2.0750008,32.925003,59.30143
1981-11-01,-2.0750008,32.97499,58.017365
1981-11-01,-2.0750008,33.024994,59.642067
1981-11-01,-2.0750008,33.074997,70.84304
1981-11-01,-2.0750008,33.125,66.6504
1981-11-01,-2.0250015,32.875,57.03061
1981-11-01,-2.0250015,32.925003,54.272957
1981-11-01,-2.0250015,32.97499,54.697403
1981-11-01,-2.0250015,33.024994,58.141735
1981-11-01,-2.0250015,33.074997,67.42895
1981-11-01,-2.0250015,33.125,64.60827
1981-11-01,-1.9750023,32.875,49.83735
1981-11-01,-1.9750023,32.925003,48.53997
1981-11-01,-1.9750023,32.97499,49.865974
1981-11-01,-1.9750023,33.024994,51.3061
1981-11-01,-1.9750023,33.074997,52.4577
1981-11-01,-1.9750023,33.125,53.256798
1981-12-01,-2.175003,32.875,94.74826
1981-12-01,-2.175003,32.925003,97.432755
1981-12-01,-2.175003,32.97499,102.03114
1981-12-01,-2.175003,33.024994,101.21231
1981-12-01,-2.175003,33.074997,100.40651
1981-12-01,-2.175003,33.125,96.63652
1981-12-01,-2.125,32.875,99.59245
1981-12-01,-2.125,32.925003,103.93634
1981-12-01,-2.125,32.97499,110.67969
1981-12-01,-2.125,33.024994,111.69359
1981-12-01,-2.125,33.074997,111.713425
1981-12-01,-2.125,33.125,106.89584
1981-12-01,-2.0750008,32.875,104.591774
1981-12-01,-2.0750008,32.925003,109.497696
1981-12-01,-2.0750008,32.97499,114.76039
1981-12-01,-2.0750008,33.024994,118.79559
1981-12-01,-2.0750008,33.074997,133.74792
1981-12-01,-2.0750008,33.125,118.24028
1981-12-01,-2.0250015,32.875,106.94156
1981-12-01,-2.0250015,32.925003,111.037865
1981-12-01,-2.0250015,32.97499,117.05429
1981-12-01,-2.0250015,33.024994,121.667816
1981-12-01,-2.0250015,33.074997,133.87177
1981-12-01,-2.0250015,33.125,121.93935
1981-12-01,-1.9750023,32.875,113.27251
1981-12-01,-1.9750023,32.925003,116.58709
1981-12-01,-1.9750023,32.97499,120.34045
1981-12-01,-1.9750023,33.024994,119.20416
1981-12-01,-1.9750023,33.074997,122.78383
1981-12-01,-1.9750023,33.125,120.86473
1982-01-01,-2.175003,32.875,147.5282
1982-01-01,-2.175003,32.925003,153.41252
1982-01-01,-2.175003,32.97499,159.13892
1982-01-01,-2.175003,33.024994,145.79883
1982-01-01,-2.175003,33.074997,147.3981
1982-01-01,-2.175003,33.125,142.66798
1982-01-01,-2.125,32.875,144.51259
1982-01-01,-2.125,32.925003,151.95226
1982-01-01,-2.125,32.97499,159.12128
1982-01-01,-2.125,33.024994,140.36494
1982-01-01,-2.125,33.074997,152.91681
1982-01-01,-2.125,33.125,152.0058
1982-01-01,-2.0750008,32.875,143.5189
1982-01-01,-2.0750008,32.925003,151.62027
1982-01-01,-2.0750008,32.97499,160.95721
1982-01-01,-2.0750008,33.024994,163.46043
1982-01-01,-2.0750008,33.074997,206.53467
1982-01-01,-2.0750008,33.125,168.88947
1982-01-01,-2.0250015,32.875,139.68387
1982-01-01,-2.0250015,32.925003,147.99551
1982-01-01,-2.0250015,32.97499,157.62836
1982-01-01,-2.0250015,33.024994,164.77957
1982-01-01,-2.0250015,33.074997,191.85828
1982-01-01,-2.0250015,33.125,160.7665
1982-01-01,-1.9750023,32.875,144.97618
1982-01-01,-1.9750023,32.925003,152.37584
1982-01-01,-1.9750023,32.97499,158.59045
1982-01-01,-1.9750023,33.024994,147.94275
1982-01-01,-1.9750023,33.074997,152.37057
1982-01-01,-1.9750023,33.125,144.70459
1982-02-01,-2.175003,32.875,91.75485
1982-02-01,-2.175003,32.925003,94.222565
1982-02-01,-2.175003,32.97499,97.998634
1982-02-01,-2.175003,33.024994,105.83107
1982-02-01,-2.175003,33.074997,105.7169
1982-02-01,-2.175003,33.125,106.63967
1982-02-01,-2.125,32.875,92.30293
1982-02-01,-2.125,32.925003,96.40933
1982-02-01,-2.125,32.97499,99.00702
1982-02-01,-2.125,33.024994,108.067566
1982-02-01,-2.125,33.074997,111.17056
1982-02-01,-2.125,33.125,110.81629
1982-02-01,-2.0750008,32.875,93.52348
1982-02-01,-2.0750008,32.925003,97.25586
