time,temperature
1893-10-15,-0.15394929609198701
1893-11-15,-0.1995684664796812
1893-12-15,-0.472528514465232
1894-01-15,-0.7538350512049168
1894-02-15,-0.4215166493498828
1894-03-15,-0.22958286736012776
1894-04-15,-0.5176361908799615
1894-05-15,-0.30667288275571636
1894-06-15,-0.4298850478625846
1894-07-15,-0.21982426564357385
1894-08-15,-0.21830727365465952
1894-09-15,-0.33289941589697425
1894-10-15,-0.281011510994817
1894-11-15,-0.39217595158114826
1894-12-15,-0.27024936032361263
1895-01-15,-0.49758280998456744
1895-02-15,-0.5176077080052016
1895-03-15,-0.4301480568578365
1895-04-15,-0.22735018821729625
1895-05-15,-0.325549304556617
1895-06-15,-0.2150432442254543
1895-07-15,-0.1570058961956594
1895-08-15,-0.2415153728228245
