lon,lat,year,temperature
-177,-13,2021,0.874166647
-177,-11,1990,0.362499992
-177,-11,2020,0.823333315
-177,-11,2021,0.524166655
-177,-9,1990,0.389166658
-177,-9,2020,0.760833316
-177,-9,2021,0.352499992
-177,-7,1990,0.516666655
-177,-7,2020,0.754999983
-177,-7,2021,0.239999995
-177,-5,1990,0.706666651
-177,-5,2020,0.698333318
-177,-5,2021,0.090833331
-177,-3,1990,0.891666647
-177,-3,2020,0.589999987
-177,-3,2021,-0.084166665
-177,-1,1990,1.019166644
-177,-1,2020,0.472499989
-177,-1,2021,-0.236666661
-177,1,1990,1.02833331
-177,1,2020,0.426666657
-177,1,2021,-0.260833328
-177,3,1990,0.969999978
-177,3,2020,0.46249999
-177,3,2021,-0.139999997
-177,5,1990,0.855833314
-177,5,2020,0.508333322
-177,5,2021,0.022499999
-177,7,1990,0.721666651
-177,7,2020,0.538333321
-177,7,2021,0.162499996
-177,9,1990,0.589166653
-177,9,2020,0.559166654
-177,9,2021,0.239166661
-177,11,1990,0.476666656
-177,11,2020,0.587499987
-177,11,2021,0.259166661
-177,13,1990,0.388333325
-177,13,2020,0.632499986
-177,13,2021,0.272499994
-177,15,1990,0.28916666
-177,15,2020,0.698333318
-177,15,2021,0.340833326
-177,17,1990,0.197499996
-177,17,2020,0.677499985
-177,17,2021,0.380833325
-177,19,1990,0.119999997
-177,19,2020,0.643333319
-177,19,2021,0.421666657
-177,21,1990,0.050833332
-177,21,2020,0.61333332
-177,21,2021,0.482499989
-177,23,1990,-0.003333333
-177,23,2020,0.59833332
-177,23,2021,0.559999987
-177,25,1990,-0.054999999
-177,25,2020,0.634999986
-177,25,2021,0.721666651
-177,27,1990,-0.030833333
-177,27,2020,0.704999984
-177,27,2021,0.924999979
-177,29,1990,0.094166665
-177,29,2020,0.760833316
-177,29,2021,1.123333308
-177,31,1990,0.282499994
-177,31,2020,0.748333317
-177,31,2021,1.240833306
-177,33,1990,0.495833322
-177,33,2020,0.638333319
-177,33,2021,1.247499972
-177,35,1990,0.688333318
-177,35,2020,0.480833323
-177,35,2021,1.184999974
