pressure,lon,lat,temp,anomaly
0,72.5,-0.5,28.8968,1.6803425925925914
0,73.5,-0.5,28.8859,1.669442592592592
0,74.5,-0.5,28.8664,1.6499425925925912
0,75.5,-0.5,28.8465,1.6300425925925914
0,76.5,-0.5,28.8351,1.6186425925925931
0,77.5,-0.5,28.8317,1.615242592592594
0,78.5,-0.5,28.8325,1.616042592592592
0,79.5,-0.5,28.826,1.609542592592593
0,80.5,-0.5,28.8081,1.591642592592592
0,81.5,-0.5,28.7857,1.569242592592591
0,82.5,-0.5,28.7656,1.5491425925925917
0,83.5,-0.5,28.7521,1.5356425925925912
0,84.5,-0.5,28.7479,1.5314425925925939
0,85.5,-0.5,28.7547,1.5382425925925922
0,86.5,-0.5,28.775,1.558542592592591
0,87.5,-0.5,28.8068,1.5903425925925916
0,88.5,-0.5,28.8461,1.6296425925925924
0,89.5,-0.5,28.8861,1.6696425925925915
0,90.5,-0.5,28.9257,1.7092425925925916
0,91.5,-0.5,28.9613,1.7448425925925939
0,92.5,-0.5,28.9905,1.7740425925925933
0,93.5,-0.5,29.0057,1.7892425925925934
0,94.5,-0.5,29.0001,1.7836425925925923
0,95.5,-0.5,28.967,1.7505425925925913
0,96.5,-0.5,28.9324,1.7159425925925937
0,97.5,-0.5,29.019,1.8025425925925909
0,98.5,-0.5,29.0772,1.8607425925925938
0,103.5,-0.5,29.3213,2.1048425925925933
0,104.5,-0.5,28.9692,1.7527425925925932
0,105.5,-0.5,28.7529,1.5364425925925929
0,106.5,-0.5,28.5839,1.3674425925925924
0,107.5,-0.5,28.5376,1.3211425925925937
0,108.5,-0.5,28.5457,1.3292425925925926
0,118.5,-0.5,28.9644,1.7479425925925938
0,120.5,-0.5,29.4595,2.243042592592591
0,121.5,-0.5,29.557,2.340542592592591
0,124.5,-0.5,28.5108,1.2943425925925922
0,125.5,-0.5,28.5008,1.2843425925925942
0,126.5,-0.5,28.5289,1.3124425925925927
0,128.5,-0.5,28.8934,1.6769425925925923
0,129.5,-0.5,28.9577,1.7412425925925916
0,134.5,-0.5,29.2785,2.0620425925925936
0,136.5,-0.5,29.2508,2.034342592592594
0,137.5,-0.5,29.284,2.0675425925925914
0,138.5,-0.5,29.2871,2.0706425925925913
0,139.5,-0.5,29.2023,1.9858425925925935
0,140.5,-0.5,29.1655,1.949042592592594
0,141.5,-0.5,29.157,1.9405425925925925
0,142.5,-0.5,29.1652,1.9487425925925912
0,143.5,-0.5,29.1815,1.9650425925925923
0,144.5,-0.5,29.2064,1.989942592592591
0,145.5,-0.5,29.2437,2.027242592592593
0,146.5,-0.5,29.2849,2.068442592592593
0,147.5,-0.5,29.3113,2.0948425925925918
0,148.5,-0.5,29.3336,2.117142592592593
0,149.5,-0.5,29.3557,2.1392425925925913
0,150.5,-0.5,29.3694,2.1529425925925914
0,151.5,-0.5,29.3691,2.152642592592592
0,152.5,-0.5,29.3538,2.137342592592592
0,153.5,-0.5,29.3349,2.1184425925925936
0,154.5,-0.5,29.3207,2.104242592592591
0,155.5,-0.5,29.3133,2.096842592592594
0,156.5,-0.5,29.3102,2.0937425925925908
0,157.5,-0.5,29.3143,2.097842592592592
0,158.5,-0.5,29.3257,2.1092425925925937
0,159.5,-0.5,29.3421,2.125642592592591
0,160.5,-0.5,29.3542,2.1377425925925913
0,161.5,-0.5,29.3502,2.1337425925925935
0,162.5,-0.5,29.3239,2.107442592592591
0,163.5,-0.5,29.2829,2.066442592592594
0,164.5,-0.5,29.235,2.018542592592592
0,165.5,-0.5,29.1913,1.9748425925925908
0,166.5,-0.5,29.155,1.9385425925925936
0,167.5,-0.5,29.1241,1.907642592592591
0,168.5,-0.5,29.0798,1.8633425925925913
0,169.5,-0.5,29.0231,1.806642592592592
0,170.5,-0.5,28.946,1.729542592592594
0,171.5,-0.5,28.8692,1.6527425925925918
0,172.5,-0.5,28.8056,1.5891425925925908
0,173.5,-0.5,28.77,1.553542592592592
0,174.5,-0.5,28.7428,1.5263425925925915
0,175.5,-0.5,28.7151,1.4986425925925921
0,176.5,-0.5,28.6795,1.4630425925925934
0,177.5,-0.5,28.6357,1.4192425925925924
0,178.5,-0.5,28.5931,1.3766425925925923
0,179.5,-0.5,28.5551,1.338642592592592
0,-179.5,-10.5,29.0552,2.1505897887323933
0,-178.5,-10.5,29.0781,2.173489788732393
0,-177.5,-10.5,29.0907,2.1860897887323922
0,-176.5,-10.5,29.0973,2.1926897887323946
0,-175.5,-10.5,29.0892,2.1845897887323957
0,-174.5,-10.5,29.0668,2.1621897887323946
0,-173.5,-10.5,29.0378,2.1331897887323947
0,-172.5,-10.5,29.0099,2.1052897887323923
0,-171.5,-10.5,28.9883,2.083689788732393
0,-170.5,-10.5,28.9741,2.069489788732394
0,-169.5,-10.5,28.9671,2.0624897887323925
0,-168.5,-10.5,28.9726,2.067989788732394
0,-167.5,-10.5,28.98,2.0753897887323944
0,-166.5,-10.5,28.9879,2.083289788732394
0,-165.5,-10.5,28.9869,2.0822897887323926
0,-164.5,-10.5,28.9754,2.0707897887323945
0,-163.5,-10.5,28.9581,2.0534897887323957
0,-162.5,-10.5,28.9323,2.0276897887323955
0,-161.5,-10.5,28.9002,1.9955897887323957
0,-160.5,-10.5,28.8774,1.9727897887323955
0,-159.5,-10.5,28.8491,1.944489788732394
0,-158.5,-10.5,28.8149,1.9102897887323955
0,-157.5,-10.5,28.781,1.8763897887323928
0,-156.5,-10.5,28.7529,1.8482897887323944
