date,village,port,ground,sex,dml,tl,weight,lat,lon
2018-03-03,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,M,12,67,0.613,-8.3910776,39.2854286
2018-02-11,Jibondo,WALANI,MCHANGA NYUMA,F,12,81,1.15,-7.9746529,39.7333336
2018-01-15,Songosongo,FUNGUNI,NYAMAMBI,M,11,76,0.6,-8.5232273,39.5029003
2018-02-02,Somanga,Mbuyuni,MCHANGA MUOVU,F,19,124,2.085,-8.3913373,39.2808858
2018-02-26,Bwejuu,Kusini,NYAMALILE,M,14,117,2.14,-7.9160826,39.6542357
2018-01-03,Songosongo,Pembeni,IMBI,F,13,93,1.135,-8.5232028,39.5028723
2018-01-04,Songosongo,Pembeni,IMBI,F,14,107,2.31,-8.5252273,39.5026941
2018-01-07,Songosongo,Pembeni,IMBI,F,8,71,0.46,-8.5253303,39.5027721
2018-01-31,Somanga,Mbuyuni,KIJAMBA CHA WEMBE,F,22,136,3.31,-8.3881779,39.2818593
2018-01-17,Jibondo,WALANI,MCHANGA NYUMA,F,9,61,0.545,-7.94622,39.6967008
2018-01-20,Jibondo,WALANI,MCHANGA NYUMA,F,10,71,0.43,-7.9733466,39.7279827
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,F,9,62,0.35,-7.9191335,39.6653093
2018-01-15,Songosongo,FUNGUNI,NYAMAMBI,F,15,92,1.78,-8.5232273,39.5029003
2018-03-10,Jibondo,WALANI,MCHANGA NYUMA,F,8,61,0.4,-7.9190966,39.6652922
2018-02-17,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,M,16,95,1.22,-8.3978381,39.280793
2018-01-03,Jibondo,WALANI,LWALA,F,12,82,0.81,-7.9733902,39.7280478
2018-02-15,Songosongo,Pembeni,IMBI,F,12,77,1.245,-8.5234331,39.503162
2018-01-17,Somanga,Mbuyuni,MWAMBA KARUMBI,F,16,112,1.48,-8.7539461,39.4130324
2018-03-10,Jibondo,WALANI,MCHANGA NYUMA,M,11,73,0.5,-7.9190966,39.6652922
2018-02-11,Jibondo,WALANI,MCHANGA NYUMA,F,8,61,0.215,-7.9746529,39.7333336
2018-01-03,Songosongo,Pembeni,IMBI,M,11,59,0.608,-8.5232028,39.5028723
2018-01-20,Jibondo,WALANI,MCHANGA NYUMA,F,13,82,1.2,-7.9733466,39.7279827
2018-01-31,Songosongo,Pembeni,IMBI,F,16,122,4.105,-8.5262477,39.5089154
2018-01-17,Jibondo,WALANI,MCHANGA NYUMA,M,11,80,0.585,-7.9734177,39.7280679
2018-02-12,Jibondo,WALANI,MCHANGA NYUMA,F,12,99,1.25,-7.9741182,39.7294142
2018-01-30,Songosongo,Pembeni,IMBI,M,10,67,0.708,-8.5262477,39.5089154
2018-01-16,Somanga,Mbuyuni,MAKATONI,F,11,82,0.75,-8.397738,39.2807041
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,F,11,77,0.66,-7.9206724,39.666814
2018-01-07,Songosongo,Pembeni,IMBI,M,11,70,1.155,-8.5260493,39.5082688
2018-02-01,Somanga,Mbuyuni,BANIANI,F,16,97,1.365,-8.3926445,39.2815348
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,M,9,66,0.45,-7.9190966,39.6652922
2018-02-26,Bwejuu,Kusini,NYAMALILE,M,17,149,4.41,-7.9160826,39.6542357
2018-01-30,Somanga,Mbuyuni,MWAMBA MKUU,M,15,101,1.485,0,0
2018-03-10,Jibondo,WALANI,MCHANGA NYUMA,F,9,68,0.5,-7.9189665,39.6652921
2018-03-02,Somanga,Mbuyuni,MWAMBA MKUU,M,10,66,0.73,-8.3910776,39.2854286
2018-03-06,Songosongo,Pembeni,PWELA,F,15,100,3.185,-8.5287671,39.5052384
2017-12-31,Bwejuu,Kusini,NYAMALILE,F,6,58,0.435,-7.9163194,39.6545582
2018-02-04,Songosongo,Pembeni,IMBI,F,14,98,1.195,-8.5234117,39.5031302
2018-02-03,Somanga,Mbuyuni,KARUMBI KUBWA,F,20,124,2.111,-8.3926445,39.2815348
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,F,11,71,0.655,-7.9190966,39.6652922
2018-02-20,Jibondo,WALANI,MCHANGA NYUMA,M,12,100,1,-7.9191242,39.6653364
2018-02-12,Jibondo,WALANI,MCHANGA NYUMA,F,8.5,65,0.24,-7.9746529,39.7333336
2018-02-20,Somanga,Mbuyuni,MZIWAJI,F,13,80,1.099,-8.3977731,39.2807855
2018-01-16,Songosongo,FUNGUNI,SONGOSONGO,F,11,64,0.51,-8.5266447,39.5102086
2018-03-08,Songosongo,Pembeni,PWELA,M,12,80,1.195,-8.5287671,39.5052384
2018-02-20,Jibondo,WALANI,MCHANGA NYUMA,M,9,71,0.3,-7.9191242,39.6653364
2018-02-01,Songosongo,Pembeni,IMBI,M,13,80,1.01,-8.5262477,39.5089154
2018-01-07,Songosongo,Pembeni,IMBI,M,13,84,1.686,-8.5260493,39.5082688
2018-01-07,Songosongo,Pembeni,PUPU,F,14,99,1.085,0,0
2018-01-14,Bwejuu,Kusini,NYAMALILE,F,18,149,4.375,-7.9158093,39.6542357
2018-01-30,Somanga,Mbuyuni,Banda ya nje,F,15,103,1.085,0,0
2018-02-12,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,F,12,72,0.61,-8.3978381,39.280793
2018-01-16,Somanga,Mbuyuni,BANDA MRIMA,M,14,85,1.075,-8.397738,39.2807041
2018-02-18,Jibondo,WALANI,MCHANGA NYUMA,F,13,100,0.95,-7.9191335,39.6653093
2018-02-12,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,M,16,116,1.59,-8.3978381,39.280793
2018-01-19,Jibondo,WALANI,LWALA,F,9,65,0.425,-7.9734177,39.7280679
2018-01-17,Somanga,Mbuyuni,MAKATONI,F,12,92,0.925,-8.7590907,39.4124931
2018-01-16,Somanga,Mbuyuni,MAKATONI,M,13,92,1.24,-8.397738,39.2807041
2018-01-30,Somanga,Mbuyuni,BANDA MRIMA,F,14,94,1.011,-8.3881779,39.2818593
2018-01-30,Somanga,Mbuyuni,MWAMBA MKUU,M,15,90,1.5,-8.3926445,39.2815348
2018-03-07,Songosongo,Pembeni,PWELA,F,11,67,0.785,-8.5287671,39.5052384
2018-01-02,Jibondo,WALANI,MCHANGA NYUMA,M,14.5,122,1.495,-7.9733938,39.7280458
2018-01-16,Songosongo,FUNGUNI,NYAMAMBI,M,11,62,0.755,-8.5260493,39.5082688
2018-03-04,Somanga,Mbuyuni,BANDA,F,18,110,1.707,-8.3882769,39.2819822
2018-01-09,Songosongo,Pembeni,IMBI,M,9,52,0.46,-8.528925,39.5047433
2018-02-11,Jibondo,WALANI,MCHANGA NYUMA,M,10,66,0.625,-7.9746529,39.7333336
2018-02-01,Songosongo,Pembeni,IMBI,M,12,107,3.165,-8.5262477,39.5089154
2018-01-17,Songosongo,FUNGUNI,BANYANI,F,13,91,0.87,-8.5137787,39.4953347
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,M,8,53,0.3,-7.9190966,39.6652922
2018-02-20,Somanga,Mbuyuni,KOROBA,F,13,71,0.89,-8.3977731,39.2807855
2018-02-14,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,F,13,90,0.53,-8.3978381,39.280793
2018-02-26,Bwejuu,Kusini,NYAMALILE,M,11,95,1.285,-7.9160826,39.6542357
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,F,8,64,0.3,-7.9190966,39.6652922
2017-12-22,Songosongo,Pembeni,IMBI,F,9,52,0.4,-6.8706637,39.1905014
2018-01-30,Somanga,Mbuyuni,Banda ya nje,F,15,108,0.69,0,0
2018-01-20,Songosongo,Funguni,IMBI,F,17,135,3.77,-8.523331,39.5030188
2018-02-02,Songosongo,Pembeni,IMBI,F,17,87,2.21,-8.5265244,39.5089154
2018-03-08,Songosongo,Pembeni,PWELA,F,22,147,3.86,-8.5287671,39.5052384
2018-02-01,Somanga,Mbuyuni,KARUMBI KUBWA,F,16,133,2.17,-8.3913841,39.2828327
2018-01-16,Somanga,Mbuyuni,MAKATONI,M,14,90,1.215,-8.397738,39.2807041
2018-03-06,Songosongo,Pembeni,PWELA,F,9,58,0.55,-8.5287671,39.5052384
2017-12-24,Jibondo,WALANI,MCHANGA NYUMA,F,10,57,0.42,-7.9734425,39.7283671
2018-03-10,Jibondo,WALANI,LWALA,M,10,70,1,-7.9734957,39.7280263
2017-12-30,Jibondo,WALANI,MCHANGA NYUMA,M,8.5,55,0.45,-7.9733938,39.7280458
2018-02-28,Somanga,Mbuyuni,MWAMBA MKUU,F,18,117,2.3,-8.3977153,39.2806424
2017-12-18,Somanga,Mbuyuni,Banda ya ndani,F,11,63,0.45,-8.3996546,39.2796079
2018-01-17,Somanga,Mbuyuni,MWAMBA KARUMBI,F,19,133,2.245,-8.7539461,39.4130324
2017-12-27,Bwejuu,Kusini,NYAMALILE,F,19,134,3.92,-6.7412701,39.1636337
2018-01-17,Jibondo,WALANI,MCHANGA NYUMA,F,13,87,1.19,-7.9734177,39.7280679
2018-01-22,Somanga,Mbuyuni,KIJAMBA CHA WEMBE,M,13,81,0.785,-8.3916141,39.2808858
2018-01-05,Jibondo,WALANI,MCHANGA NYUMA,M,9,63,0.37,-7.9733902,39.7280478
2018-01-04,Bwejuu,Kusini,NYAMALILE,M,9,122,1.755,-7.9163194,39.6545582
2018-01-31,Songosongo,PEMBENI,IMBI,F,11,71,1.415,-8.5262477,39.5089154
2017-12-30,Jibondo,WALANI,MCHANGA NYUMA,M,9.5,60.5,0.415,-7.9733938,39.7280458
2017-12-22,Songosongo,Pembeni,IMBI,F,9,45,0.44,-6.8787003,39.2480637
2018-01-16,Somanga,Mbuyuni,PWAYASI,F,16,116,2.8,-8.3916141,39.2808858
2018-01-18,Jibondo,WALANI,KITUTIA,M,9,78.5,0.685,-7.9734177,39.7280679
2018-02-18,Somanga,Mbuyuni,MWAMBA MKUU,M,10,62,0.904,-8.3978381,39.280793
2018-03-11,Jibondo,WALANI,LWALA,M,10,68,0.5,-7.9190966,39.6652922
2018-01-15,Songosongo,MBUYUNI,MACHANGE,F,8,54,0.285,-8.397738,39.2807041
2018-01-31,Songosongo,Pembeni,IMBI,M,13,99,0.335,-8.5262477,39.5089154
2018-02-05,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,M,16,103,1.615,-8.3937698,39.2805336
2017-12-23,Jibondo,WALANI,MCHANGA NYUMA,F,9.5,66,0.405,-7.9189395,39.665261
2018-01-20,Songosongo,Funguni,IMBI,F,13,82,0.85,-8.523331,39.5030188
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,F,9,69,0.75,-7.9191335,39.6653093
2018-01-20,Jibondo,WALANI,MCHANGA NYUMA,M,10,68,0.76,-7.9733466,39.7279827
2017-12-30,Jibondo,WALANI,MCHANGA NYUMA,F,10,66.5,0.45,-7.9191136,39.6653108
2018-01-02,Jibondo,WALANI,MCHANGA NYUMA,M,11,75,0.63,-7.9733938,39.7280458
2018-01-20,Jibondo,WALANI,MCHANGA NYUMA,M,8,63,0.355,-7.9733466,39.7279827
2018-01-30,Bwejuu,Kusini,NYAMALILE,M,16.5,134,3.075,-7.9158093,39.6542357
2018-02-15,Songosongo,Pembeni,IMBI,F,10,56,0.68,-8.5234331,39.503162
2017-12-18,Somanga,Mbuyuni,WEMBE KUBWA,M,14,95,1.36,-8.3997946,39.2795878
2018-02-12,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,F,16,93,2.165,-8.3978381,39.280793
2018-03-03,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,F,16,92,0.878,-8.3910776,39.2854286
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,F,11,74,0.5,-7.9473645,39.7076865
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,F,11,82,0.55,-7.9190966,39.6652922
2018-01-18,Songosongo,FUNGUNI,IMBI,F,11,73,0.745,-8.5129912,39.497275
2017-12-27,Jibondo,WALANI,MCHANGA NYUMA,M,10.5,62,0.65,-6.7416009,39.1629835
2018-03-03,Somanga,Mbuyuni,BANDA,F,14,87,0.891,-8.3913458,39.2831572
2018-01-04,Songosongo,Pembeni,IMBI,F,17,100,1.95,-8.5232028,39.5028723
2017-12-18,Somanga,Mbuyuni,WEMBE KUBWA,F,15,101,1.87,-8.3997946,39.2795878
2018-01-05,Songosongo,Pembeni,MWAMBA WA KATI - SONGO,M,11,63,1.05,-8.5257726,39.5082688
2018-02-12,Jibondo,WALANI,MCHANGA NYUMA,F,11,76,0.25,-7.9741182,39.7294142
2018-01-20,Somanga,Mbuyuni,SELEMANI,M,11,87,0.99,-8.390613333333333,39.27926
2018-03-11,Jibondo,WALANI,LWALA,M,12,86,0.8,-7.9189665,39.6652921
2018-02-03,Bwejuu,Kusini,NYAMALILE,F,11,180,1.08,-7.9158093,39.6542357
2018-02-05,Somanga,Mbuyuni,UKUZA,M,21,108,2.1,-8.3996041,39.2796279
2018-01-17,Songosongo,FUNGUNI,BANYANI,F,11,66,0.495,-8.5129912,39.497275
2018-02-12,Jibondo,WALANI,MCHANGA NYUMA,F,10,88,0.47,-7.9741182,39.7294142
2018-02-03,Songosongo,Pembeni,IMBI,M,17,102,2.715,-8.5303587,39.5092387
2017-12-30,Jibondo,WALANI,MCHANGA NYUMA,F,9.5,65,0.395,-7.9733938,39.7280458
2018-01-16,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,F,15,116,3.501,-8.3926445,39.2815348
2018-01-20,Songosongo,Funguni,IMBI,M,11,105,1.955,-8.523331,39.5030188
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,M,11,68,0.6,-7.9473645,39.7076865
2017-12-21,Bwejuu,Kusini,KAULE,F,9,67,0.53,-7.916452,39.6589407
2018-01-02,Jibondo,WALANI,MCHANGA NYUMA,M,9,67,0.4,-7.9733938,39.7280458
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,F,16,112,1.75,-7.9191335,39.6653093
2017-12-27,Jibondo,WALANI,MCHANGA NYUMA,M,7,50,0.19,-6.7417122,39.1662076
2018-02-03,Somanga,Mbuyuni,MWAMBA JAHAZI,M,20,125,2.1,-8.3926445,39.2815348
2018-01-14,Jibondo,WALANI,MCHANGA NYUMA,F,12,90,0.885,-7.9205629,39.6677814
2018-01-16,Songosongo,FUNGUNI,SONGOSONGO,F,11,61,0.51,-8.5260493,39.5082688
2018-01-23,Somanga,Mbuyuni,KARUMBI KUBWA,M,18,122,2.146,-8.3916992,39.2825083
2018-01-19,Jibondo,WALANI,KITUTIA,M,10.5,82.5,0.78,-7.9734177,39.7280679
2018-02-27,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,M,13,68,0.789,-8.3977731,39.2807855
2018-01-05,Songosongo,Pembeni,MWAMBA WA KATI - SONGO,F,16,87,1.74,-8.5257726,39.5082688
2018-02-13,Somanga,Mbuyuni,MZIWAJI,F,10,56,0.5,-8.3978381,39.280793
2018-02-04,Songosongo,Pembeni,IMBI,F,9,64,0.56,-8.5243879,39.5030698
2018-02-28,Bwejuu,Kusini,NYAMALILE,M,11,94,0.8,-7.9160826,39.6542357
2018-01-31,Somanga,Mbuyuni,KIJAMBA CHA WEMBE,M,13,85,0.985,-8.3952889,39.2802368
2018-01-28,Songosongo,Pembeni,IMBI,F,11,79,0.62,-8.5262477,39.5089154
2018-01-19,Jibondo,WALANI,LWALA,M,9,70,0.48,-7.9734177,39.7280679
2018-01-05,Songosongo,Pembeni,MWAMBA WA KATI - SONGO,F,12,71,1.175,-8.5257726,39.5082688
2018-01-16,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,M,11,67,0.59,-8.397738,39.2807041
2017-12-29,Bwejuu,Kusini,NYAMALILE,F,10,91,0.99,-7.9160461,39.6545582
2018-01-16,Somanga,Mbuyuni,MAKATONI,M,13,110,0.88,-8.397738,39.2807041
2018-01-15,Songosongo,FUNGUNI,NYAMAMBI,F,14,88,1.455,-8.5232273,39.5029003
2018-02-18,Jibondo,WALANI,LWALA,F,7.5,48,0.25,-7.9733438,39.7279197
2018-02-15,Songosongo,Pembeni,IMBI,F,15,99,1.99,-8.5253769,39.5030311
2018-01-03,Songosongo,Pembeni,IMBI,M,9,52,0.46,-8.5252273,39.5026941
2017-12-19,Bwejuu,Kusini,NYAMALILE,F,15.5,141,2.81,-7.916452,39.6589407
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,F,11,81,0.65,-7.9206724,39.666814
2018-01-03,Songosongo,Pembeni,IMBI,F,11,61,0.655,-8.5252273,39.5026941
2018-01-16,Somanga,Mbuyuni,MAKATONI,M,12,92,1.01,-8.397738,39.2807041
2018-01-20,Songosongo,Funguni,IMBI,M,17,108,1.715,-8.523331,39.5030188
2018-02-01,Somanga,Mbuyuni,BANIANI,F,11,67,0.61,-8.3926445,39.2815348
2017-12-21,Songosongo,Pembeni,PWELA,M,14,87,2.115,-8.5257726,39.5082688
2018-03-03,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,F,16,119,1.857,-8.3900089,39.2851041
2018-01-15,Songosongo,FUNGUNI,BANYANI,M,13,83,0.86,-8.5232273,39.5029003
2017-12-30,Jibondo,WALANI,MCHANGA NYUMA,F,10,83,0.685,-7.9733938,39.7280458
2018-01-14,Songosongo,Pembeni,IMBI,M,9,50,0.53,-8.5232831,39.5029609
2018-01-31,Somanga,Mbuyuni,KIJAMBA CHA WEMBE,F,15,86,0.839,-8.3926445,39.2815348
2018-02-03,Bwejuu,Kusini,NYAMALILE,M,11,61,0.945,-7.9158093,39.6542357
2018-01-05,Jibondo,WALANI,LWALA,F,10,65,0.595,-7.9733902,39.7280478
